idasso	identifiant	type	datedeclaration	lieu_declaration	cp	titre	ancien_titre	nouveau_titre	objet	nouvel_objet	additif_objet	themes	siege_social	web	email	dateparution	numparution	page_debut	page_fin
			4/11/2004	Déclaration à la sous-préfecture de Vichy. 	03200	SPORTS, LOISIRS, DETENTE, VICHY. 						15,11	38, rue du Lery, 03700 Bellerive-sur-Allier			27/11/2004	20040048	5281	
			4/11/2004	Déclaration à la sous-préfecture de Vichy. 	03200	SOCIETE DE TROMPES DE CHASSE LA SAINT-HUBERT VICHYSSOISE. 						15	11, rue du Sénateur-Gacon, 03200 Vichy			27/11/2004	20040048	5281	
			4/11/2004	Déclaration à la sous-préfecture de Vichy. 	03200	UNION NATIONALE DES EVADES DE GUERRE, SECTION DE L'ALLIER. 						99	30, boulevard de Lattre-de-Tassigny, 03200 Vichy			27/11/2004	20040048	5281	
			4/11/2004	Déclaration à la sous-préfecture de Vichy. 	03250	FOYER DE SKI DE FOND DE SAINT-NICOLAS-DES-BIEFS. 						11	mairie, 03250 Saint-Nicolas-des-Biefs			27/11/2004	20040048	5281	
			20/10/2004	Déclaration à la préfecture des Alpes-de-Haute-Provence. 	04270	SÛRYATHA. 			promouvoir, éduquer, initier, sensibiliser et approcher la santé globale, holistique, à travers la naturopathie et la pratique du yoga traditionnel, pour un mieux-être. 			11,15	Lambruisse, 04270 Saint-Jeannet			27/11/2004	20040048	5281	
			21/10/2004	Déclaration à la préfecture des Alpes-de-Haute-Provence. 	04510	LOU ESTELLO. 			participation à des rallyes automobiles. 			11,10,15	lotissement Saint-Barthélemy, le Chaffaut, Saint-Jurson, 04510 Mallemoisson		sung.sandra@neuf.fr	27/11/2004	20040048	5281	
			29/10/2004	Déclaration à la sous-préfecture de Castellane. 	04370	AMIS DES FORTS VAUBAN DE COLMARS. 						99	lieudit Miegessols, 04370 Colmars-les-Alpes			27/11/2004	20040048	5281	
			20/10/2004	Déclaration à la préfecture des Alpes-de-Haute-Provence. 	04210	CERCLE D'ETUDES ECONOMIQUES, DE REFLEXION ET DE PROSPECTIVE. 						10,7	chemin Notre-Dame, Fontclar, B.P. 26, 04210 Valensole			27/11/2004	20040048	5281	
			8/11/2004	Déclaration à la sous-préfecture de Barcelonnette. 	04340	ASSOCIATION POUR LA DEFENSE DES CONTRIBUABLES, DES INTERETS COMMUNAUX ET DU DISTRICT LA BREOLE/SAINT-VINCENT-LES-FORTS. 						6	La Bréole, route du Lac, 04340 La Bréole			27/11/2004	20040048	5281	
			15/10/2004	Déclaration à la préfecture des Hautes-Alpes. 	05200	ATTITUDE. 			faire connaître et proposer à des groupes la pratique de techniques corporelles douces - relaxation et gymnastique douce, permettant le mieux-être de la personne dans sa totalité. 			15,13	résidence Athena n° 12, quartier Saint-Esprit, 05200 Embrun			27/11/2004	20040048	5281	
			15/10/2004	Déclaration à la préfecture des Hautes-Alpes. 	05300	HIP-HOP SESSION. 			développer la culture hip-hop en partageant notre savoir-faire par le biais de rencontres dans des milieux différents : MJC, centres sociaux, lycées, associations, centres de loisirs... 			5,11	6 bis, chemin des Mavels, 05300 Laragne-Montéglin			27/11/2004	20040048	5281	
			15/10/2004	Déclaration à la préfecture des Hautes-Alpes. 	05130	LES CHEMINS DE TRAVERSE. 			proposer toutes activités ayant trait aux différents langages corporels, linguistiques, artistiques et culturels. 			5,11	immeuble le Provence, les Guérins, 05130 Sigoyer			27/11/2004	20040048	5281	
			18/10/2004	Déclaration à la préfecture des Hautes-Alpes. 	05300	LES BAGUETTES BLUES. 			pratique de la musique. 			5,11	4, avenue de Provence, 05300 Laragne-Montéglin		pech.tof@wanadoo.fr	27/11/2004	20040048	5281	
			19/10/2004	Déclaration à la préfecture des Hautes-Alpes. 	05230	ASSOCIATION DES LOCATAIRES DE LA RESIDENCE PERSONNES AGEES DE LA POUSTERLE. 			défense des intérêts des locataires vis-à-vis du C.C.A.S. de Chorges. 			6,14	15, La Pousterle, 117, route des Andriaux, 05230 Chorges			27/11/2004	20040048	5281	
			20/10/2004	Déclaration à la préfecture des Hautes-Alpes. 	05260	AH CREATION. 			faciliter la création de moments de bonheur partagés : en favorisant un esprit de convivialité, simplicité et d'accueil ; en partageant un moment de créativité musicale ou artistique ; en suscitant la liberté de devenir créateur et plus généralement toute activité permettant de : favoriser l'épanouissement, l'équilibre, le bonheur de l'être humain, la paix, la solidarité, le respect, la dignité, la responsabilité, l'ouverture entre les êtres humains ; aider les organisations (associatives, économiques, sociales, politiques, spirituelles...) qui oeuvrent directement ou indirectement pour que l'Homme ait une vie plus harmonieuse. 			5,11,14	gîte l'Epilobe, les Forests, 05260 Saint-Léger-les-Mélèzes			27/11/2004	20040048	5281	
			30/07/2004	Déclaration à la préfecture des Hautes-Alpes. 	05000	KUNG FU WUSHU 05. 						11,15	9, lotissement Pré Vescal, 05000 Rambaud			27/11/2004	20040048	5281	
			14/10/2004	Déclaration à la sous-préfecture de Grasse. 	06480	SAINT-PAUL-LA-COLLE OLYMPIQUE-CLUB FOOTBALL (S.P.C.O.C. FOOTBALL). 			pratique du football. 			15,11	stade Marcel-Laurent, boulevard Honoré-Teisseire, 06480 La Colle-sur-Loup			27/11/2004	20040048	5281	
			18/10/2004	Déclaration à la sous-préfecture de Grasse. 	06570	CENTRE AZUREEN DE KRAV MAGA. 			enseignement d'un système de combat au corps-à-corps et d'un système d'autodéfense ; formation des hommes, des femmes et des enfants selon une méthode d'entraînement créatrice et intensive ayant pour objectif de préparer à la réalité et aux épreuves de la rue. 			6,15	175, chemin des Alpes, 06570 Saint-Paul			27/11/2004	20040048	5281	
			22/10/2004	Déclaration à la sous-préfecture de Grasse. 	06510	FIL ROUGE. 			faire découvrir, partager et promouvoir la broderie (en particulier le point de croix compté), mais également toutes formes de loisirs créatifs, travaux de couture, d'aiguilles ou autres en organisant des rencontres, des échanges, des concours et des expositions. 			11	maison des associations, 15 bis, rue du Bosquet, 06510 Carros			27/11/2004	20040048	5281	
			22/10/2004	Déclaration à la sous-préfecture de Grasse. 	06600	ASSOCIATION DES LOCATAIRES DE LA RESIDENCE « LES TILLEULS ». 			représenter et défendre les droits moraux et matériels des locataires de la résidence les Tilleuls, 1620, avenue Jules-Grec, 06600 Antibes ; améliorer l'environnement et la qualité de vie des résidents ; proposer une information sur tout ce qui a trait au logement, à l'environnement, à la qualité de vie, aux droits et devoirs des locataires ; acter et ester en justice afin d'assurer par tous moyens de droit, propres aux associations relevant de la loi du 1er juillet 1901, soit directement ou par constitution d'avocat ; défense des intérêts moraux et matériels de l'association en général ainsi que des adhérents, pris dans leur collectivité ou dans leur individualité, afin d'assurer en justice, tant en demande qu'en défense, sauvegarde et protection des droits et intérêts moraux et matériels des locataires, et ce conformément à l'esprit et à la volonté du législateur ; ainsi que tout autre objet qui ne serait pas prévu aux présents statuts établis et qui pourrait être déterminé et voté lors d'une simple délibération du conseil d'administration appelé a être  légalement validé et ratifié par la prochaine assemblée générale. 			6	les Tillleuls, bâtiment 1/2, 1620, avenue Jules-Grec, 06600 Antibes			27/11/2004	20040048	5282	
			25/10/2004	Déclaration à la sous-préfecture de Grasse. 	06150	LIMOGES PROVENCE. 			rencontres culinaires entre habitants de la région Provence et du Limousin. 			5	36 et 38, avenue F.-Tuby, 06150 Cannes-La Bocca			27/11/2004	20040048	5282	
			25/10/2004	Déclaration à la sous-préfecture de Grasse. 	06560	FAMOUS-CLUBS. 			organisation d'événements. 			11	1, ruelle des Lavandes, le Haut-Sartoux, 06560 Valbonne			27/11/2004	20040048	5282	
			25/10/2004	Déclaration à la sous-préfecture de Grasse. 	06410	GALEXYS. 			encourager, promouvoir, organiser et financer toute activité, cours, conférence, manifestation, publication, production de moyens audiovisuels ou informatiques, spectacle permettant de développer et de faire connaître l'art et la musique. 			5	39, résidence du Jeu-de-la-Beaume, 06410 Biot		patrick.navard@wanadoo.fr	27/11/2004	20040048	5282	
			25/10/2004	Déclaration à la sous-préfecture de Grasse. 	06600	L'ODYSSEE DES ARTISTES. 			créer un lieu d'échanges pour développer des actions culturelles en particulier autour de la mer et de l'environnement en Méditerranée. 			5	9, rue Saint-Esprit, 06600 Antibes	www.odysseedulysse.com	infos@odysseedulysse.com	27/11/2004	20040048	5282	
			25/10/2004	Déclaration à la sous-préfecture de Grasse. 	06110	DES AMIS DE GEORGES... 			apporter une aide ponctuelle à des étudiants francophones poursuivant leurs études universitaires en France et en situation matérielle fragile. 			14	les Bréguières, 10, route des Bréguières, 06110 Le Cannet		gsintes@infonie.fr	27/11/2004	20040048	5282	
			25/10/2004	Déclaration à la sous-préfecture de Grasse. 	06700	CRAZY-LIGHT. 			création, réalisation d'événements, soirées, journées liés au diverstissement de la jeunesse, ainsi que toutes activités annexes et connexes s'y rattachant. 			11	277, rue Jean-Giono, les Pugets, bâtiment C 6, 06700 Saint-Laurent-du-Var			27/11/2004	20040048	5282	
			26/10/2004	Déclaration à la sous-préfecture de Grasse. 	06510	ASSOCIATION DES LOCATAIRES H.L.M. CARROS-ACTION (A.L.H.C.A.). 			défendre et représenter les intérêts des locataires de Carros ; réunir les locataires afin de les aider, les conseiller, les informer et porter leurs revendications afin d'améliorer leur cadre de vue ; partenariat avec les services de l'O.P.A.M. lors de la mise en route et de la réalisation de la réhabilitation des logements de Carros ; participation active au développement harmonieux de la vie collective. 			6	maison des associations, carros@lire ; 15 bis, rue des Bosquets, 06510 Carros			27/11/2004	20040048	5282	
			26/10/2004	Déclaration à la sous-préfecture de Grasse. 	06110	SANS ETIQUETTE. 			initier, au moyen d'ateliers, un large public à la pratique de toutes expressions scéniques ; diffuser et promouvoir le spectacle vivant. 			5,10	2, rue Casimir-Reynaud, 06110 Le Cannet			27/11/2004	20040048	5282	
			26/10/2004	Déclaration à la sous-préfecture de Grasse. 	06270	FURYA OSMOZA. 			création de festival musical et culturel. 			5	235, chemin de l'Abreuvoir, 06270 Villeneuve-Loubet			27/11/2004	20040048	5282	
			26/10/2004	Déclaration à la sous-préfecture de Grasse. 	06210	LA CASE - ASSOCIATION MELANESIENNE DE LA COTE D'AZUR. 			permettre les rencontres entre Mélanésiens et amis de la Nouvelle-Calédonie. 			11,5	113, avenue de Cannes, les Myosotis, 06210 Mandelieu-la-Napoule			27/11/2004	20040048	5282	
			27/10/2004	Déclaration à la sous-préfecture de Grasse. 	06400	ASSOCIATION DES PROFESSIONNELS ET TECHNICIENS DE L'EVENEMENTIEL (A.P.T.E.). 			animations touristiques, artistiques, culturelles ou sportives ; actions de développement des activités professionnelles. 			15,11,5	38, rue Georges-Clemenceau, 06400 Cannes			27/11/2004	20040048	5282	
			27/10/2004	Déclaration à la sous-préfecture de Grasse. 	06130	UNE ROSE POUR VOTRE CARNET DE BAL. 			organisation de manifestations à vocation caritative. 			14	5, avenue du Général-de-Gaulle, 06130 Grasse			27/11/2004	20040048	5282	
			01/10/2004	Déclaration à la sous-préfecture de Grasse. 	06150	LIONS-CLUB CANNES COTE D'AZUR. 						11	club Maintenon, 14, rue Edith-Cavell, 06400 Cannes		lions.cannes-cda@laposte.net	27/11/2004	20040048	5282	
			25/10/2004	Déclaration à la sous-préfecture de Grasse. 	06510		CHORALE DE GATTIERES.	LE CHOEUR DES COTEAUX D'AZUN. 				11	mairie, 06510 Gattières			27/11/2004	20040048	5282	
			25/10/2004	Déclaration à la sous-préfecture de Grasse. 	06600	BUREAU DES ELEVES DE L'ESINSA. 						8	352, Les Mauruches-Supérieures, 06220 Vallauris	esinsa.unice.fr/bde	bde@esinsa.unice.fr	27/11/2004	20040048	5282	
			26/10/2004	Déclaration à la sous-préfecture de Grasse. 	06110	REUNIONS CHRETIENNES EVANGELIQUES. 				gestion d'un local pour l'exercice du culte chrétien et la bienfaisance. 		4	Le Boccace, 6/10, chemin de l'Industrie, 06110 Le Cannet			27/11/2004	20040048	5282	
			27/10/2004	Déclaration à la sous-préfecture de Grasse. 	06700	ASSOCIATION DES APHASIQUES DES ALPES-MARITIMES. 						14	50, rue des Mimosas, 06700 Saint-Laurent-du-Var		aldo-vatignez@wanadoo.fr	27/11/2004	20040048	5282	
			26/10/2004	Déclaration à la sous-préfecture de Grasse. 	06330	INSTITUT DE FORMATION ET DE SOUTIEN SCOLAIRE (INFOSCOL). 						99	villa Njock, 1987, route départementale 2085, 06330 Roquefort-les-Pins			27/11/2004	20040048	5282	
			20/10/2004	Déclaration à la préfecture de l'Ardèche. 	07170	ASSOCIATION ARDECHOISE DES CHASSEURS AU CHIEN D'ARRET. 			développer la chasse au chien d'arrêt ; mieux faire connaître ce type de chasse ; respecter rigoureusement l'éthique qui lui est liée ; apporter au chasseur au chien d'arrêt tous les conseils et toute l'aide dont il peut avoir besoin, dans la mesure des moyens de l'association. 			2				27/11/2004	20040048	5282	
			20/10/2004	Déclaration à la préfecture de l'Ardèche. 	07350	ASSOCIATION DU MUSEE DEPARTEMENTAL DES SPORTS DE CRUAS. 			préserver, sauvegarder et promouvoir des dépôts ou dons d'objets en lien avec la carrière sportive d'athlètes français ; rassembler toute documentation écrite, audiovisuelle, afin de préserver la mémoire du développement du sport au plan départemental, régional et national ; les objets et documentations dont elle a la garde pourront être utilisés pour la réalisation d'expositions, forums, colloques, interventions en milieu scolaire et toute autre manifestation destinée à promouvoir l'histoire du sport à l'échelle départementale, régionale ou nationale. 			15,5,6	place René-Cassin, 07350 Cruas			27/11/2004	20040048	5283	
			20/10/2004	Déclaration à la préfecture de l'Ardèche. 	07200	LA CHAMBRE DES SINISTRES. 			promouvoir les créations musicales du groupe Bloody Vision et le métal, ainsi que la culture métal. 			5	place de l'Eglise, 07200 Saint-Privat			27/11/2004	20040048	5283	
			20/10/2004	Déclaration à la préfecture de l'Ardèche. 	07000	LES DEUX VALLEES. 			organiser, promouvoir, assurer les manifestations relatives au Téléthon et en gérer les recettes et les dépenses. 			14,11	bâtiment Véritas, 1709, boulevard du Vivarais, 07000 Privas			27/11/2004	20040048	5283	
			20/10/2004	Déclaration à la préfecture de l'Ardèche. 	07600	SECTION ARDECHE DE SECURITE ET DE SAUVETAGE AQUATIQUE. 			faire pratiquer le sauvetage et le secourisme ; organiser la formation des sauveteurs ; organiser les examens de sauvetage aquatique ; représenter la fédération française aux examens. 			14,8				27/11/2004	20040048	5283	
			4/11/2004	Déclaration à la sous-préfecture de Tournon-sur-Rhône. 	07340		AMICALE BOULES SERRIERES SABLONS.	AMICALE BOULES SERRIERES SABLONS PEYRAUD LIMONY. 				11	café du Vivarais, 07340 Serrières			27/11/2004	20040048	5283	
			4/11/2004	Déclaration à la sous-préfecture de Tournon-sur-Rhône. 	07100	OFFICE MUNICIPAL DES SPORTS. 						7,15	mairie, B.P. 133, 07104 Annonay Cedex			27/11/2004	20040048	5283	
			4/11/2004	Déclaration à la sous-préfecture de Tournon-sur-Rhône. 	07310	TENNIS-CLUB DE SAINT-MARTIN-DE-VALAMAS. 				pratique du tennis. 		11,15	office du tourisme, La Place, 07310 Saint-Martin-de-Valamas			27/11/2004	20040048	5283	
			4/11/2004	Déclaration à la sous-préfecture de Tournon-sur-Rhône. 	07310		LA SOURCE.	LA SOURCE, ASSOCIATION DES AGRICULTEURS, ARTISANS ET COMMERÇANTS NON SEDENTAIRES DU GERBIER-DE-JONC. 				7,14	établissements Chapus, chemin de la Prat, 07160 Le Cheylard			27/11/2004	20040048	5283	
			4/11/2004	Déclaration à la sous-préfecture de Tournon-sur-Rhône. 	07340	CLUB DE JUDO PEAUGROIS. 						11,15	mairie, place Principale, 07340 Peaugres		mcoisson@tiscali.fr	27/11/2004	20040048	5283	
			27/10/2004	Déclaration à la préfecture des Ardennes. 	08090	FEDERATION DEPARTEMENTALE DES CHASSEURS DES ARDENNES. 			participer à la mise en valeur du patrimoine cynégétique départemental, à la protection et à la gestion de la faune sauvage et de ses habitats ; assurer la promotion et défense de la chasse et des chasseurs ; former les chasseurs et futurs chasseurs ; concourir à la prévention du braconnage ; prévenir et indemniser les dégâts de gibier. 			5,9,15	49, rue du Muguet, route de Gernelle, 08090 Saint-Laurent		fdc08@unfdc-com	27/11/2004	20040048	5283	
			27/10/2004	Déclaration à la préfecture des Ardennes. 	08000	BAYARD D'ARTS ENGINEERS. 			créer et faire vivre des équipes de flèches au sein du bar la Tavern'Bayard. 			15,11	place de l'Hôtel-de-Ville, 08000 Charleville-Mézières			27/11/2004	20040048	5283	
			27/10/2004	Déclaration à la préfecture des Ardennes. 	08230	USEP PIERRE MENDES-FRANCE. 			former à la responsabilité, au civisme et à l'autonomie par la pratique d'activités physiques, sportives et de pleine nature. 			14,15	pôle scolaire Rocroi Centre, rue du Grand-Quartier, 08230 Rocroi		0080191p@ac-reims.fr	27/11/2004	20040048	5283	
			2/11/2004	Déclaration à la sous-préfecture de Sedan. 	08110	ASSOCIATION LA DEUX-VILLOISE. 			animer le village des Deux-Villes (goûter de Noël, concours de belote, pétanque, brocante, etc.). 			11	8, rue Haute, 08110 Les Deux-Villes			27/11/2004	20040048	5283	
			2/11/2004	Déclaration à la sous-préfecture de Sedan. 	08110	COOPERATIVE DE L'ECOLE PRIMAIRE DE BLAGNY. 			gérer et animer la coopérative scolaire de l'école primaire de Blagny. 			14,8	école primaire de Blagny, rue des Ecoles, 08110 Blagny			27/11/2004	20040048	5283	
			2/11/2004	Déclaration à la sous-préfecture de Rethel. 	08270	L'AMICALE FESTIVE DE WASIGNY. 			organiser ou participer à l'organisation de toute festivité ou manifestation sportive ayant lieu sur le territoire de la commune ; répondre à toute demande d'organisation de festivité ou manifestation sportive émanant d'une autre commune ou association. 			11,15	mairie, 47, rue Jean-Jaurès, 08270 Wasigny			27/11/2004	20040048	5283	
			2/11/2004	Déclaration à la sous-préfecture de Rethel. 	08300	LES AMIS DU MOTO-CROSS. 			développement de la pratique du moto-cross, notamment chez les jeunes. 			11,10	8, rue de Facquilly, 08300 Thugny-Trugny			27/11/2004	20040048	5283	
			2/11/2004	Déclaration à la sous-préfecture de Rethel. 	08270	LE RAGOT DE PUISEUX. 			organisation de la chasse, préservation du gibier, amélioration cynégétique et destruction des nuisibles. 			15	mairie, place de la Mairie, 08270 Puiseux			27/11/2004	20040048	5283	
			2/11/2004	Déclaration à la sous-préfecture de Rethel. 	08300	ASSOCIATION DES SPORTS ET LOISIRS DU CENTRE F.P.A. 						11,15	centre de formation professionnelle pour adultes, rue des Trois-Châteaux, 08300 Acy-Romance			27/11/2004	20040048	5283	
			21/10/2004	Déclaration à la préfecture de l'Ariège. 	09000	ARIEGE BAILA TANGO. 			faire connaître, promouvoir, développer et populariser le tango sous toutes ses formes : musicale, instrumentale et danse ; organiser des manifestations et des spectacles afin d'assurer la promotion du tango et du folklore argentin ; favoriser les échanges culturels entre la France et l'Argentine ; être un lieu de recherche, de documentation, d'information, de diffusion, de formation et de rencontre pour tout ce qui se rapporte au tango et, d'une façon générale, effectuer toutes opérations directes ou indirectes liées aux points ci-dessus et susceptibles de favoriser la réalisation de l'objet social et/ou d'intéresser les adhérents. 			5,11,14	41, route de Ganac, 09000 Foix			27/11/2004	20040048	5283	
			26/10/2004	Déclaration à la préfecture de l'Ariège. 	09300	L'ATELIER. 			réunir les personnes qui désirent effectuer des ouvrages manuels et artistiques. 			5	mairie, 2, rue du Pont-d'Ardille, 09300 Fougax-et-Barrineuf			27/11/2004	20040048	5284	
			27/10/2004	Déclaration à la préfecture de l'Ariège. 	09220	AMICALE DES ANCIENS ELEVES DES ECOLES D'AUZAT (A.D.A.E.A.). 			resserrer les liens d'amitié entre les anciens élèves et leurs familles ; faire rayonner et développer des valeurs auxquelles on voudrait bien revenir aujourd'hui ; participer par des retrouvailles annuelles à mieux faire connaître le pays d'Auzat et Vicdessos ; être moteur dans la vie sociale de la ville. 			14,11	89, cité Pechiney, 09220 Auzat			27/11/2004	20040048	5284	
			28/10/2004	Déclaration à la préfecture de l'Ariège. 	09300	LAVELANET OLMES SKI COMPETITION. 						11,15	Le Mouflon, immeuble Le Cristal, Les Monts d'Olmes, 09300 Montferrier			27/11/2004	20040048	5284	
			2/11/2004	Déclaration à la sous-préfecture de Bar-sur-Aube. 	10200	SOCIETE DE CHASSE DE SAULCY. 			défense de la vie sauvage dans la vie moderne ; promouvoir des règles d'aménagement et gérer des espèces sauvages sur les territoires cynégétiquement contrôlés par ses membres. 			15,6,9	2, rue des Tilleuls, 10200 Saulcy			27/11/2004	20040048	5284	
			12/10/2004	Déclaration à la sous-préfecture de Narbonne. 	11120	EN CATIMINI. 			offrir des animations et des prestations culturelles diverses (chants, musiques traditionnelles et modernes). 			5	2, le Capitoul, 11120 Ginestas			27/11/2004	20040048	5284	
			18/10/2004	Déclaration à la sous-préfecture de Narbonne. 	11590	L'ENFANT SANS DETRESSE. 			aide à l'enfance, c'est-à-dire aux enfants et adolescents victimes de maladie et à ceux victimes de maltraitance. 			14	28, chemin des Garrigots, 11590 Cuxac-d'Aude		comy@wanadoo.fr	27/11/2004	20040048	5284	
			21/10/2004	Déclaration à la sous-préfecture de Narbonne. 	11782	ASSOCIATION SPORTIVE DU L.P.A. DES CORBIERES ET DU NARBONNAIS. 			favoriser l'accès à la pratique d'activités physiques et sportives dans un cadre compétitif scolaire, mais aussi de loisirs. 			15	centre Pierre-Reverdy, voie de l'Etang, B.P. 7205, 11782 Narbonne Cedex			27/11/2004	20040048	5284	
			25/10/2004	Déclaration à la sous-préfecture de Narbonne. 	11590	SPORT, TOURISME, LOISIRS, CONSEILS (S.T.L. CONSEILS). 			conseiller, expertiser, diffuser, enseigner, encadrer et développer, en France métropolitaine, dans les Dom-Tom et dans tous les pays de la C.E., d'une façon non lucrative, toutes les activités liées aux sports, au tourisme et aux loisirs, tant aux entreprises professionnelles qu'aux particuliers et associations de sport de compétition, de tourisme, de loisirs, ainsi que de certaines activités complémentaires pouvant contribuer au développement intellectuel, physique et sportif. 			15,11	11, rue Racine, 11590 Cuxac-d'Aude			27/11/2004	20040048	5284	
			4/11/2004	Déclaration à la sous-préfecture de Limoux. 	11303	SECTIONS SPORTIVES INSTITUT SAINT-JOSEPH. 			développer l'apprentissage et la pratique de la vie associative et d'activités sportives. 			15,14	avenue André-Chénier, B.P. 97, 11303 Limoux Cedex			27/11/2004	20040048	5284	
			21/10/2004	Déclaration à la sous-préfecture de Narbonne. 	11120	ARTE Y ESTILO ANDALUZ. 						99	domaine de Maures, 11120 Saint-Marcel-sur-Aude			27/11/2004	20040048	5284	
			22/10/2004	Déclaration à la sous-préfecture de Limoux. 	11340	ALTI-DOG, ASSOCIATION D'AIDE AUX MUSHERS ET AUX PROPRIETAIRES DE CHIENS DE SPORT. 						2	Coumelongue, rue du Tremedis, 11340 Camurac			27/11/2004	20040048	5284	
			4/11/2004	Déclaration à la sous-préfecture de Limoux. 	11500	BOXING AMERICAN-CLUB. 						15	20, rue de la Mairie, 11500 Quillan			27/11/2004	20040048	5284	
			3/11/2004	Déclaration à la sous-préfecture de Villefranche-de-Rouergue. 	12300	ASSOCIATION MAISON COMMUNE EMPLOI FORMATION DU BASSIN DECAZEVILLE-AUBIN. 			garantir et mettre en oeuvre le projet commun des partenaires approuvé par le comité de pilotage régional des maisons communes emploi formation ; dans ce cadre, l'association organise et gère les actions partenariales s'inscrivant dans ce projet et assure la gestion de l'équipement des espaces communs et du fonctionnement des espaces communs de la maison commune emploi formation du bassin Decazeville-Aubin. 			14	communauté de communes Decazeville-Aubin, maison de l'industrie, B.P. 68, 12300 Decazeville			27/11/2004	20040048	5284	
			12/10/2004	Déclaration à la sous-préfecture de Millau. 	12100	ASTANA. 						99	38, rue Pierre-Dupré, 13006 Marseille		astana@wanadoo.fr	27/11/2004	20040048	5284	
			2/11/2004	Déclaration à la sous-préfecture de Villefranche-de-Rouergue. 	12200	ECOLE DE PETANQUE VILLEFRANCHOISE. 						11,15	café des Sports, 12200 Villefranche-de-Rouergue			27/11/2004	20040048	5284	
			14/10/2004	Déclaration à la sous-préfecture de Millau. 	12360	BASKET-CLUB CAMARESIEN. 						15				27/11/2004	20040048	5284	
			25/10/2004	Déclaration à la préfecture des Bouches-du-Rhône. 	13006	POTLATCH PROD. 			servir de rampe de lancement à tout un secteur musical regroupant les musiciens les plus créatifs ou les plus prometteurs dans le domaine mouvant des musiques du rock alternatif, de la pop progressive, de l'électro-rock et de la chanson expérimentale. 			5,10	47, rue Grignan, 13006 Marseille			27/11/2004	20040048	5284	
